date,text,hash_tags
2020-09-08,"Based on their bad ratings, so would many! thebradfordfile™I would much rather watch a Trump rally than an NBA game. And it's not even close.41.25.5",
2020-09-08,"Maybe as a leader- sarcasm, joking, insinuating, and Lying shouldn’t be used when taking policy, to the press or any kind of official communication at all.   The time your wasting is funded with OUR money. Keep a lid on it until your a private citizen.  ","['#POTUS', '#RealDonaldJTrump1']"
2020-09-08,Promises made Promises kept.  You have my vote President Trump!4,
2020-09-08,"The Real Polls are starting to look GREAT! We will be having an even bigger victory than that of 2016. The Radical Left Anarchists, Agitators, Looters, and just plain Lunatics, will not be happy, but they will behave!3417.5",
2020-09-08,"You don't count the people who went back to work after being furloughed, you nitwit. They were furloughed, bc of the horrible way you've handled the Trump Virus. If you had shut down for 3-4 weeks & told your base to wear masks, the U.S. wouldn't have 190k dead & 30M unemployed.2",
2020-09-08,That’s exactly why CNN is not allowed in my house.   Bullshit news = CNN6,
2020-09-08,woohoo!1,
2020-09-08,Thank you....we need serious intervention here in California.11,
2020-09-08,None of them should air your ridiculous press conferences424,
2020-09-08,"How about John Kelly himself? I don’t think I’ve heard HIM deny it. Hmmmm....after you said those oh-so-kind words about him, I wouldn’t be surprised if some more pieces of the “iceberg” tumble down tomorrow!",
2020-09-08,CNN is all fake news people and I agree Mr. President..23,
2020-09-08,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump https://breitbart.com/politics/2020/09/07/exclusive-zach-fuentes-top-aide-to-john-kelly-denies-atlantic-story-about-trump/… via  Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About TrumpFormer Deputy White House Chief of Staff Zach Fuentes denied to Breitbart News The Atlantic’s account of President Donald Trump’s comments about troops.breitbart.com1.11.54.4",
2020-09-08,"Lolololololol. Like people who pronounce things as Thighland, Yo-semite, plosma, and surburbs1",
2020-09-08,The hell with Dustin johnson I'm still hurting and that piss asd munchkin says bail out airline but no stimulus check. Here's my answer I'm voting biden maybe he can help us you have decided not to1,
2020-09-08,"Trump is the fake news , 10 million RETRUN to their old jobs , this Fking BSer is suicide for USA Trump is History one way or the other ! 20201",
2020-09-08,"So,  you're a ""true winner"" if you win a golf game,  but a ""loser"" if you lay down your life for your country or disagree with the president?  Got it.2",
2020-09-08,"Today you insulted our military as your proof that you didn’t previously insult our military. Coke’s a hellava drug, Komrade Bonespurs.  ","['#TrumpHatesOurMilitary', '#TrumpHatesOurVeterans']"
2020-09-09,You are suppose to root for America to succeed not gloat and denigrate if they don’t. I bet is wrong with you? I can’t wait until the SDNY locks your ass away!!11,
2020-09-09,“liar”..........for someone that can’t spell the word knowing he does it every day makes this even funnier. Thanks for the laughs Agolf Twitler.,
2020-09-09,"Me too, President Trump is so entertaining and at the same time giving us important information.1",
2020-09-09,Does that spell Zozo? So it’s trump zozo?? I’m sure it has special meaning for all the QANON freaks.11,
2020-09-09,If you have plane trouble just jump! I know you think you need a parachute but that's just a Dem hoax like Covid was. Don't let them get you! Jump!!!1,
2020-09-09,Are you STILL TWEETING ?? 11,
2020-09-09,Cuomo and de Blasio are committed to turning the beautiful State and city of New York into a dilapidated Marxist 3rd world toilet.    ,"['#NewYork', '#America', '#USA1']"
2020-09-09,Too bad. About the landing part.5,
2020-09-09,Will you protect American lifestyle and not be part of the new world order agenda?32,
2020-09-09,Why didn’t “Suburbia” disappear in the 8 years before you?14,
2020-09-09,"Ok enough whinnying. I have yet to here your plan for the Election. No surprise there since you never have a plan. Case in point how is that replacement of ObamaCare coming along. What did you say, that it would be so easy. You would have it done in 2 hours after U were elected.2",
2020-09-09,I doubt most of NC cares!!11,
2020-09-09,"They are not “peaceful protesters”, as Sleepy Joe and the Democrats call them, they are THUGS - And it is all taking place in Democrat run cities. Call me and request Federal HELP. We will solve your problems in a matter of minutes - And thanks to the U.S. Marshalls in Portland!1.83.512.9",
2020-09-09," Doesn’t sound like a mass “retirement” to me,  ; it’s a MASS RESIGNATION.And you’re cheering Rochester’s loss of an African-American police chief.ROTTEN  ...Rochester police leaders retire after suffocation deathwnyt.com13",['#MockingbirdMedia']
2020-09-09, Canada is in trouble. Corrupt politicians in power True North12,
2020-09-09,That's how it should be! Great Polls coming in. Nobody in their right mind will vote for candidates that supported violence and mayhem!Never!124,
2020-09-09,Lies.  You created it.  Why would you want to fix it.  It's your mess.  Let the adult in the room clean it up.  Joe Biden.6,
2020-09-09,Domestic terrorist38,
2020-09-10,"And, because of the incompetence of Trump, the failed president of the United States, tens of thousands of people have died of the coronavirus.25",
2020-09-10,"These are my real words about our GREAT HEROES, not made up lies by the enemy. THANK YOU and God Bless You All!227 0:05 / 2:303.43.69.1",
2020-09-10,Liar in chief!11,
2020-09-10,"You are a failed president! You failed 190,000 people!11",
2020-09-10,Do you really think the KKK and white suburbia is going to save your ass?3,
2020-09-10,"Does Hannity prefer the Black or Caspian seaside for his ""retirement"" plan?14",
2020-09-10,"Buckle up Buttercup, it’s only just begun.  All I know is, everything said and written by the left MSM is lies and more lies.  No one can change my VOTE!!!   429",['#StandwithTrump']
2020-09-10,Snyder was really bad in Michigan as a governor. The people will not forget the Flint disaster in MI.49,
2020-09-10,"You’ve told over 20,000 lies (well that was last week when I checked so it’s probably higher). You love causing fear so no one believes you didn’t say anything to prevent panic. 189,000 dead from  & that’s on you. ","['#TrumpVirus', '#TrumpKnew114']"
2020-09-10,...These are horrendous people that we must defeat on November 3rd!7.81.46,
2020-09-10,We won't be watching Hannity....11,
2020-09-10,Thanks for the head's up. We will have fact checkers on standby.3,
2020-09-10, Pass it on.23,['#TrumpKnewVoteBlue']
2020-09-10,"Only in your world would you have to pivot back to the other shameful story that makes you look like a monster, because today's is so much worse!2",
2020-09-10,I will be watching  tear you a new one.13,
2020-09-10,"Donald calls US Citizens ""enemy"".  He called for the systematic persecution of Lt. Col. Vindman, a purple heart recipient, who's only crime was to answer a lawful subpoena and answer questions honestly. Not satisfied with this act of petty revenge, he also trashed the brother.124",
2020-09-10,"Trump. This country is big and powerful, but not enough to withstand the looting by you and your pals. You can’t do Your Thing then go your merry way and good ol’ America will be fine. Look around. It’s all going to hell. We aren’t going to be fine. You’ve wrecked the USA.513",
